The 0th point (270, 200) image frame is (0, 0, 0) is robot base frame.
The 1th point (269, 201) image frame is (0, 0, 0) is robot base frame.
The 2th point (245, 201) image frame is (0, 0, 0) is robot base frame.
The 3th point (245, 326) image frame is (0, 0, 0) is robot base frame.
The 4th point (272, 326) image frame is (0, 0, 0) is robot base frame.
The 5th point (273, 325) image frame is (0, 0, 0) is robot base frame.
The 6th point (286, 325) image frame is (0, 0, 0) is robot base frame.
The 7th point (287, 324) image frame is (0, 0, 0) is robot base frame.
The 8th point (287, 323) image frame is (0, 0, 0) is robot base frame.
The 9th point (288, 322) image frame is (0, 0, 0) is robot base frame.
The 10th point (288, 321) image frame is (0, 0, 0) is robot base frame.
The 11th point (289, 320) image frame is (0, 0, 0) is robot base frame.
The 12th point (289, 319) image frame is (0, 0, 0) is robot base frame.
The 13th point (290, 318) image frame is (0, 0, 0) is robot base frame.
The 14th point (290, 317) image frame is (0, 0, 0) is robot base frame.
The 15th point (291, 316) image frame is (0, 0, 0) is robot base frame.
The 16th point (291, 315) image frame is (0, 0, 0) is robot base frame.
The 17th point (292, 314) image frame is (0, 0, 0) is robot base frame.
The 18th point (292, 313) image frame is (0, 0, 0) is robot base frame.
The 19th point (293, 312) image frame is (0, 0, 0) is robot base frame.
The 20th point (293, 311) image frame is (0, 0, 0) is robot base frame.
The 21th point (294, 310) image frame is (0, 0, 0) is robot base frame.
The 22th point (294, 299) image frame is (0, 0, 0) is robot base frame.
The 23th point (293, 298) image frame is (0, 0, 0) is robot base frame.
The 24th point (293, 210) image frame is (0, 0, 0) is robot base frame.
The 25th point (291, 208) image frame is (0, 0, 0) is robot base frame.
The 26th point (291, 207) image frame is (0, 0, 0) is robot base frame.
The 27th point (288, 204) image frame is (0, 0, 0) is robot base frame.
The 28th point (288, 203) image frame is (0, 0, 0) is robot base frame.
The 29th point (285, 200) image frame is (0, 0, 0) is robot base frame.
The 0th point (245, 200) image frame is (0.668878, 0.0939613, 0.00155992) is robot base frame.
The 1th point (245, 326) image frame is (0.547599, 0.094851, -0.000818177) is robot base frame.
The 2th point (256, 326) image frame is (0.547523, 0.0842615, -0.000912682) is robot base frame.
The 3th point (257, 325) image frame is (0.548479, 0.0832918, -0.000902399) is robot base frame.
The 4th point (286, 325) image frame is (0.548279, 0.0553741, -0.00115155) is robot base frame.
The 5th point (287, 324) image frame is (0.549234, 0.0544044, -0.00114127) is robot base frame.
The 6th point (287, 323) image frame is (0.550197, 0.0543974, -0.00112239) is robot base frame.
The 7th point (288, 322) image frame is (0.551153, 0.0534276, -0.00111211) is robot base frame.
The 8th point (288, 321) image frame is (0.552115, 0.0534206, -0.00109324) is robot base frame.
The 9th point (289, 320) image frame is (0.553071, 0.0524508, -0.00108295) is robot base frame.
The 10th point (289, 319) image frame is (0.554033, 0.0524438, -0.00106408) is robot base frame.
The 11th point (290, 318) image frame is (0.554989, 0.051474, -0.0010538) is robot base frame.
The 12th point (290, 317) image frame is (0.555951, 0.0514669, -0.00103492) is robot base frame.
The 13th point (291, 316) image frame is (0.556907, 0.0504972, -0.00102464) is robot base frame.
The 14th point (291, 315) image frame is (0.55787, 0.0504902, -0.00100577) is robot base frame.
The 15th point (292, 314) image frame is (0.558825, 0.0495204, -0.000995484) is robot base frame.
The 16th point (292, 313) image frame is (0.559788, 0.0495134, -0.00097661) is robot base frame.
The 17th point (293, 312) image frame is (0.560743, 0.0485436, -0.000966328) is robot base frame.
The 18th point (293, 311) image frame is (0.561706, 0.0485366, -0.000947454) is robot base frame.
The 19th point (294, 310) image frame is (0.562662, 0.0475668, -0.000937172) is robot base frame.
The 20th point (294, 284) image frame is (0.587687, 0.0473833, -0.000446452) is robot base frame.
The 21th point (293, 283) image frame is (0.588657, 0.0483389, -0.000418987) is robot base frame.
The 22th point (293, 210) image frame is (0.658921, 0.0478235, 0.000958801) is robot base frame.
The 23th point (292, 209) image frame is (0.659891, 0.0487791, 0.000986267) is robot base frame.
The 24th point (292, 208) image frame is (0.660853, 0.048772, 0.00100514) is robot base frame.
The 25th point (289, 205) image frame is (0.663762, 0.0516389, 0.00108754) is robot base frame.
The 26th point (289, 204) image frame is (0.664724, 0.0516318, 0.00110641) is robot base frame.
The 27th point (285, 200) image frame is (0.668602, 0.0554543, 0.00121627) is robot base frame.
The 0th point (245, 200) image frame is (0.668866, 0.0939659, 0.00156023) is robot base frame.
The 1th point (245, 326) image frame is (0.547587, 0.0948551, -0.000818048) is robot base frame.
The 2th point (254, 326) image frame is (0.547525, 0.086191, -0.000895395) is robot base frame.
The 3th point (255, 325) image frame is (0.548481, 0.0852213, -0.000885114) is robot base frame.
The 4th point (286, 325) image frame is (0.548267, 0.0553783, -0.00115153) is robot base frame.
The 5th point (287, 324) image frame is (0.549223, 0.0544085, -0.00114125) is robot base frame.
The 6th point (287, 323) image frame is (0.550186, 0.0544015, -0.00112238) is robot base frame.
The 7th point (288, 322) image frame is (0.551141, 0.0534318, -0.0011121) is robot base frame.
The 8th point (288, 321) image frame is (0.552104, 0.0534247, -0.00109322) is robot base frame.
The 9th point (289, 320) image frame is (0.553059, 0.052455, -0.00108294) is robot base frame.
The 10th point (289, 319) image frame is (0.554022, 0.0524479, -0.00106406) is robot base frame.
The 11th point (290, 318) image frame is (0.554978, 0.0514782, -0.00105378) is robot base frame.
The 12th point (290, 317) image frame is (0.55594, 0.0514711, -0.00103491) is robot base frame.
The 13th point (291, 316) image frame is (0.556896, 0.0505014, -0.00102463) is robot base frame.
The 14th point (291, 315) image frame is (0.557858, 0.0504943, -0.00100575) is robot base frame.
The 15th point (292, 314) image frame is (0.558814, 0.0495246, -0.000995471) is robot base frame.
The 16th point (292, 313) image frame is (0.559776, 0.0495175, -0.000976596) is robot base frame.
The 17th point (293, 312) image frame is (0.560732, 0.0485478, -0.000966315) is robot base frame.
The 18th point (293, 311) image frame is (0.561695, 0.0485407, -0.000947439) is robot base frame.
The 19th point (294, 310) image frame is (0.56265, 0.047571, -0.000937158) is robot base frame.
The 20th point (294, 284) image frame is (0.587676, 0.0473875, -0.000446402) is robot base frame.
The 21th point (293, 283) image frame is (0.588645, 0.0483432, -0.000418933) is robot base frame.
The 22th point (293, 210) image frame is (0.65891, 0.047828, 0.000958958) is robot base frame.
The 23th point (292, 209) image frame is (0.659879, 0.0487836, 0.000986427) is robot base frame.
The 24th point (292, 208) image frame is (0.660842, 0.0487766, 0.0010053) is robot base frame.
The 25th point (289, 205) image frame is (0.66375, 0.0516434, 0.00108771) is robot base frame.
The 26th point (289, 204) image frame is (0.664713, 0.0516364, 0.00110659) is robot base frame.
The 27th point (285, 200) image frame is (0.66859, 0.0554588, 0.00121646) is robot base frame.
The 0th point (245, 200) image frame is (0.668861, 0.0939679, 0.00156036) is robot base frame.
The 1th point (245, 326) image frame is (0.547582, 0.0948568, -0.000817993) is robot base frame.
The 2th point (253, 326) image frame is (0.547527, 0.0871554, -0.000886755) is robot base frame.
The 3th point (254, 325) image frame is (0.548483, 0.0861857, -0.000876475) is robot base frame.
The 4th point (286, 325) image frame is (0.548263, 0.05538, -0.00115153) is robot base frame.
The 5th point (287, 324) image frame is (0.549218, 0.0544103, -0.00114125) is robot base frame.
The 6th point (287, 323) image frame is (0.550181, 0.0544033, -0.00112237) is robot base frame.
The 7th point (288, 322) image frame is (0.551136, 0.0534335, -0.00111209) is robot base frame.
The 8th point (288, 321) image frame is (0.552099, 0.0534265, -0.00109321) is robot base frame.
The 9th point (289, 320) image frame is (0.553055, 0.0524567, -0.00108293) is robot base frame.
The 10th point (289, 319) image frame is (0.554017, 0.0524497, -0.00106406) is robot base frame.
The 11th point (290, 318) image frame is (0.554973, 0.0514799, -0.00105378) is robot base frame.
The 12th point (290, 317) image frame is (0.555935, 0.0514729, -0.0010349) is robot base frame.
The 13th point (291, 316) image frame is (0.556891, 0.0505032, -0.00102462) is robot base frame.
The 14th point (291, 315) image frame is (0.557853, 0.0504961, -0.00100574) is robot base frame.
The 15th point (292, 314) image frame is (0.558809, 0.0495264, -0.000995465) is robot base frame.
The 16th point (292, 313) image frame is (0.559772, 0.0495193, -0.000976589) is robot base frame.
The 17th point (293, 312) image frame is (0.560727, 0.0485496, -0.000966309) is robot base frame.
The 18th point (293, 311) image frame is (0.56169, 0.0485425, -0.000947433) is robot base frame.
The 19th point (294, 310) image frame is (0.562645, 0.0475728, -0.000937152) is robot base frame.
The 20th point (294, 283) image frame is (0.588634, 0.0473823, -0.000427505) is robot base frame.
The 21th point (293, 282) image frame is (0.589603, 0.0483379, -0.000400034) is robot base frame.
The 22th point (293, 210) image frame is (0.658905, 0.0478299, 0.000959023) is robot base frame.
The 23th point (292, 209) image frame is (0.659875, 0.0487856, 0.000986495) is robot base frame.
The 24th point (292, 208) image frame is (0.660837, 0.0487785, 0.00100537) is robot base frame.
The 25th point (289, 205) image frame is (0.663745, 0.0516454, 0.00108778) is robot base frame.
The 26th point (289, 204) image frame is (0.664708, 0.0516383, 0.00110666) is robot base frame.
The 27th point (285, 200) image frame is (0.668586, 0.0554608, 0.00121654) is robot base frame.
The 0th point (259, 200) image frame is (0.668761, 0.0804919, 0.00144011) is robot base frame.
The 1th point (258, 201) image frame is (0.667805, 0.0814616, 0.00142983) is robot base frame.
The 2th point (245, 201) image frame is (0.667895, 0.0939764, 0.00154158) is robot base frame.
The 3th point (245, 326) image frame is (0.547579, 0.0948582, -0.000817951) is robot base frame.
The 4th point (254, 326) image frame is (0.547517, 0.0861941, -0.000895317) is robot base frame.
The 5th point (255, 325) image frame is (0.548472, 0.0852244, -0.000885037) is robot base frame.
The 6th point (286, 325) image frame is (0.548259, 0.0553814, -0.00115152) is robot base frame.
The 7th point (287, 324) image frame is (0.549215, 0.0544117, -0.00114124) is robot base frame.
The 8th point (287, 323) image frame is (0.550177, 0.0544046, -0.00112236) is robot base frame.
